medal_id,country_medal,city,discipline_title,participant_type,event_gender,medal_type
m58,Austria,lillehammer,Alpine Skiing,Athlete,Women,GOLD
m59,Austria,nagano,Alpine Skiing,Athlete,Women,SILVER
m60,Austria,nagano,Alpine Skiing,Athlete,Women,BRONZE
m61,Austria,nagano,Alpine Skiing,Athlete,Women,GOLD
m62,Austria,nagano,Alpine Skiing,Athlete,Women,SILVER
m63,Austria,nagano,Alpine Skiing,Athlete,Women,BRONZE
m64,Austria,nagano,Alpine Skiing,Athlete,Men,GOLD
m65,Austria,nagano,Alpine Skiing,Athlete,Men,SILVER
m66,Austria,nagano,Alpine Skiing,Athlete,Men,BRONZE
m67,Austria,nagano,Alpine Skiing,Athlete,Women,GOLD
m68,Austria,nagano,Alpine Skiing,Athlete,Women,SILVER
m69,Austria,nagano,Alpine Skiing,Athlete,Women,BRONZE
m70,Austria,oslo,Alpine Skiing,Athlete,Mixed,GOLD
m71,Austria,oslo,Alpine Skiing,Athlete,Mixed,SILVER
m72,Austria,oslo,Alpine Skiing,Athlete,Mixed,BRONZE
m73,Austria,oslo,Alpine Skiing,Athlete,Women,GOLD
m74,Austria,oslo,Alpine Skiing,Athlete,Women,SILVER
m75,Austria,oslo,Alpine Skiing,Athlete,Women,BRONZE
m76,Austria,oslo,Alpine Skiing,Athlete,Men,GOLD
m77,Austria,pyeongchang,Alpine Skiing,Athlete,Men,SILVER
m78,Austria,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m79,Austria,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m80,Austria,pyeongchang,Alpine Skiing,Athlete,Women,GOLD
m81,Austria,pyeongchang,Alpine Skiing,Athlete,Women,SILVER
m82,Austria,pyeongchang,Alpine Skiing,Athlete,Women,BRONZE
m83,Austria,pyeongchang,Alpine Skiing,GameTeam,Women,GOLD
m84,Austria,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m85,Austria,salt lake city,Alpine Skiing,Athlete,Women,BRONZE
m86,Austria,salt lake city,Alpine Skiing,Athlete,Men,GOLD
m87,Austria,salt lake city,Alpine Skiing,Athlete,Men,SILVER
m88,Austria,salt lake city,Alpine Skiing,Athlete,Men,BRONZE
m89,Austria,salt lake city,Alpine Skiing,Athlete,Men,GOLD
m90,Austria,salt lake city,Alpine Skiing,Athlete,Men,SILVER
m91,Austria,salt lake city,Alpine Skiing,Athlete,Men,BRONZE
m92,Austria,salt lake city,Alpine Skiing,Athlete,Women,GOLD
m93,Austria,sapporo,Alpine Skiing,Athlete,Women,GOLD
m94,Austria,sapporo,Alpine Skiing,Athlete,Women,BRONZE
m95,Austria,sapporo,Alpine Skiing,Athlete,Women,GOLD
m96,Austria,sapporo,Alpine Skiing,Athlete,Women,SILVER
m97,Austria,sarajevo,Alpine Skiing,Athlete,Women,BRONZE
m98,Austria,sochi,Alpine Skiing,Athlete,Men,GOLD
m99,Austria,sochi,Alpine Skiing,Athlete,Men,SILVER
m100,Austria,sochi,Alpine Skiing,Athlete,Men,BRONZE
m101,Austria,sochi,Alpine Skiing,Athlete,Men,GOLD
m102,Austria,sochi,Alpine Skiing,Athlete,Men,SILVER
m103,Austria,sochi,Alpine Skiing,Athlete,Men,BRONZE
m104,Austria,sochi,Alpine Skiing,Athlete,Men,GOLD
m105,Austria,sochi,Alpine Skiing,Athlete,Men,SILVER
m106,Austria,sochi,Alpine Skiing,Athlete,Men,BRONZE
m107,Austria,squaw valley,Alpine Skiing,Athlete,Men,GOLD
m108,Austria,squaw valley,Alpine Skiing,Athlete,Men,SILVER
m109,Austria,squaw valley,Alpine Skiing,Athlete,Men,BRONZE
m110,Austria,squaw valley,Alpine Skiing,Athlete,Women,GOLD
m111,Austria,squaw valley,Alpine Skiing,Athlete,Women,SILVER
m112,Austria,st moritz,Alpine Skiing,Athlete,Women,BRONZE
m113,Austria,st moritz,Alpine Skiing,Athlete,Women,GOLD
m114,Austria,st moritz,Alpine Skiing,Athlete,Women,SILVER
m115,Austria,st moritz,Alpine Skiing,Athlete,Women,BRONZE
m116,Austria,st moritz,Alpine Skiing,Athlete,Men,GOLD
m117,Austria,st moritz,Alpine Skiing,Athlete,Men,SILVER
m118,Austria,turin,Alpine Skiing,Athlete,Men,BRONZE
m119,Austria,turin,Alpine Skiing,Athlete,Men,GOLD
m120,Austria,turin,Alpine Skiing,Athlete,Men,SILVER
m121,Austria,turin,Alpine Skiing,Athlete,Men,BRONZE
m122,Austria,turin,Alpine Skiing,Athlete,Women,GOLD
m123,Austria,turin,Alpine Skiing,Athlete,Women,SILVER
m124,Austria,turin,Alpine Skiing,Athlete,Women,BRONZE
m125,Austria,turin,Alpine Skiing,Athlete,Women,GOLD
m126,Austria,turin,Alpine Skiing,Athlete,Women,SILVER
m127,Austria,turin,Alpine Skiing,Athlete,Women,BRONZE
m128,Austria,turin,Alpine Skiing,Athlete,Men,GOLD
m129,Austria,turin,Alpine Skiing,Athlete,Men,SILVER
m130,Austria,turin,Alpine Skiing,Athlete,Men,BRONZE
m131,Austria,turin,Alpine Skiing,Athlete,Women,GOLD
m132,Austria,vancouver,Alpine Skiing,Athlete,Women,SILVER
m133,Austria,vancouver,Alpine Skiing,Athlete,Women,BRONZE
m134,Austria,vancouver,Alpine Skiing,Athlete,Women,GOLD
m135,Austria,vancouver,Alpine Skiing,Athlete,Women,SILVER
m136,Canada,albertville,Alpine Skiing,Athlete,Women,BRONZE
m137,Canada,beijing,Alpine Skiing,Athlete,Women,GOLD
m138,Canada,calgary,Alpine Skiing,Athlete,Women,SILVER
m139,Canada,calgary,Alpine Skiing,Athlete,Women,BRONZE
m140,Canada,cortina ampezzo,Alpine Skiing,Athlete,Men,GOLD
m141,Canada,grenoble,Alpine Skiing,Athlete,Men,SILVER
m142,Canada,grenoble,Alpine Skiing,Athlete,Men,BRONZE
m143,Canada,innsbruck,Alpine Skiing,Athlete,Women,GOLD
m144,Canada,lake placid,Alpine Skiing,Athlete,Women,SILVER
m145,Canada,lillehammer,Alpine Skiing,Athlete,Women,BRONZE
m146,Canada,sochi,Alpine Skiing,Athlete,Men,GOLD
m147,Canada,squaw valley,Alpine Skiing,Athlete,Men,SILVER
m148,Croatia,salt lake city,Alpine Skiing,Athlete,Men,BRONZE
m149,Croatia,salt lake city,Alpine Skiing,Athlete,Women,GOLD
m150,Croatia,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m151,Croatia,salt lake city,Alpine Skiing,Athlete,Women,BRONZE
m152,Croatia,sochi,Alpine Skiing,Athlete,Men,GOLD
m153,Croatia,turin,Alpine Skiing,Athlete,Men,SILVER
m154,Croatia,turin,Alpine Skiing,Athlete,Men,BRONZE
m155,Croatia,turin,Alpine Skiing,Athlete,Men,GOLD
m156,Croatia,vancouver,Alpine Skiing,Athlete,Men,SILVER
m157,Croatia,vancouver,Alpine Skiing,Athlete,Men,BRONZE
m158,Czech Republic,pyeongchang,Alpine Skiing,Athlete,Men,GOLD
m159,Czech Republic,vancouver,Alpine Skiing,Athlete,Men,SILVER
m160,Slovakia,sarajevo,Alpine Skiing,Athlete,Men,BRONZE
m161,Germany,calgary,Alpine Skiing,Athlete,Women,GOLD
m162,Germany,calgary,Alpine Skiing,Athlete,Women,SILVER
m163,Germany,calgary,Alpine Skiing,Athlete,Women,BRONZE
m164,Germany,calgary,Alpine Skiing,Athlete,Men,GOLD
m165,Germany,innsbruck,Alpine Skiing,Athlete,Men,SILVER
m166,Germany,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m167,Germany,innsbruck,Alpine Skiing,Athlete,Women,GOLD
m168,Germany,lake placid,Alpine Skiing,Athlete,Women,SILVER
m169,Germany,lake placid,Alpine Skiing,Athlete,Women,BRONZE
m170,Finland,turin,Alpine Skiing,Athlete,Men,GOLD
m171,France,albertville,Alpine Skiing,Athlete,Men,SILVER
m172,France,albertville,Alpine Skiing,Athlete,Men,BRONZE
m173,France,albertville,Alpine Skiing,Athlete,Men,GOLD
m174,France,beijing,Alpine Skiing,Athlete,Men,SILVER
m175,France,beijing,Alpine Skiing,Athlete,Men,BRONZE
m176,France,beijing,Alpine Skiing,Athlete,Women,GOLD
m177,France,calgary,Alpine Skiing,Athlete,Women,SILVER
m178,France,calgary,Alpine Skiing,Athlete,Women,BRONZE
m179,France,garmisch,Alpine Skiing,Athlete,Men,GOLD
m180,France,grenoble,Alpine Skiing,Athlete,Men,SILVER
m181,France,grenoble,Alpine Skiing,Athlete,Men,BRONZE
m182,France,grenoble,Alpine Skiing,Athlete,Women,GOLD
m183,France,grenoble,Alpine Skiing,Athlete,Women,SILVER
m184,France,grenoble,Alpine Skiing,Athlete,Women,BRONZE
m185,France,grenoble,Alpine Skiing,Athlete,Women,GOLD
m186,France,grenoble,Alpine Skiing,Athlete,Women,SILVER
m187,France,grenoble,Alpine Skiing,Athlete,Women,BRONZE
m188,France,innsbruck,Alpine Skiing,Athlete,Women,GOLD
m189,France,innsbruck,Alpine Skiing,Athlete,Women,SILVER
m190,France,innsbruck,Alpine Skiing,Athlete,Women,BRONZE
m191,France,innsbruck,Alpine Skiing,Athlete,Men,GOLD
m192,France,innsbruck,Alpine Skiing,Athlete,Men,SILVER
m193,France,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m194,France,innsbruck,Alpine Skiing,Athlete,Men,GOLD
m195,France,lake placid,Alpine Skiing,Athlete,Men,SILVER
m196,France,nagano,Alpine Skiing,Athlete,Men,BRONZE
m197,France,nagano,Alpine Skiing,Athlete,Men,GOLD
m198,France,pyeongchang,Alpine Skiing,Athlete,Men,SILVER
m199,France,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m200,France,pyeongchang,Alpine Skiing,Athlete,Women,GOLD
m201,France,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m202,France,salt lake city,Alpine Skiing,Athlete,Women,BRONZE
m203,France,salt lake city,Alpine Skiing,Athlete,Men,GOLD
m204,France,salt lake city,Alpine Skiing,Athlete,Men,SILVER
m205,France,sapporo,Alpine Skiing,Athlete,Men,SILVER
m206,France,sapporo,Alpine Skiing,Athlete,Men,GOLD
m207,France,sarajevo,Alpine Skiing,Athlete,Men,SILVER
m208,France,sarajevo,Alpine Skiing,Athlete,Men,BRONZE
m209,France,sarajevo,Alpine Skiing,Athlete,Men,GOLD
m210,France,sochi,Alpine Skiing,Athlete,Men,SILVER
m211,France,sochi,Alpine Skiing,Athlete,Men,BRONZE
m212,France,squaw valley,Alpine Skiing,Athlete,Women,GOLD
m213,France,squaw valley,Alpine Skiing,Athlete,Women,SILVER
m214,France,squaw valley,Alpine Skiing,Athlete,Women,BRONZE
m215,France,st moritz,Alpine Skiing,Athlete,Women,GOLD
m216,France,st moritz,Alpine Skiing,Athlete,Women,SILVER
m217,France,st moritz,Alpine Skiing,Athlete,Women,BRONZE
m218,France,st moritz,Alpine Skiing,Athlete,Women,GOLD
m219,France,st moritz,Alpine Skiing,Athlete,Women,SILVER
m220,France,turin,Alpine Skiing,Athlete,Women,BRONZE
m221,France,turin,Alpine Skiing,Athlete,Women,GOLD
m222,Germany,albertville,Alpine Skiing,Athlete,Women,SILVER
m223,Germany,beijing,Alpine Skiing,GameTeam,Women,BRONZE
m224,Germany,cortina ampezzo,Alpine Skiing,Athlete,Men,GOLD
m225,Germany,garmisch,Alpine Skiing,Athlete,Men,SILVER
m226,Germany,garmisch,Alpine Skiing,Athlete,Men,BRONZE
m227,Germany,garmisch,Alpine Skiing,Athlete,Women,GOLD
m228,Germany,garmisch,Alpine Skiing,Athlete,Women,SILVER
m229,Germany,innsbruck,Alpine Skiing,Athlete,Women,BRONZE
m230,Germany,lillehammer,Alpine Skiing,Athlete,Men,GOLD
m231,Germany,lillehammer,Alpine Skiing,Athlete,Men,SILVER
m232,Germany,lillehammer,Alpine Skiing,Athlete,Men,BRONZE
m233,Germany,lillehammer,Alpine Skiing,Athlete,Women,GOLD
m234,Germany,nagano,Alpine Skiing,Athlete,Women,SILVER
m235,Germany,nagano,Alpine Skiing,Athlete,Women,BRONZE
m236,Germany,nagano,Alpine Skiing,Athlete,Men,GOLD
m237,Germany,nagano,Alpine Skiing,Athlete,Men,SILVER
m238,Germany,nagano,Alpine Skiing,Athlete,Men,BRONZE
m239,Germany,nagano,Alpine Skiing,Athlete,Women,GOLD
m240,Germany,oslo,Alpine Skiing,Athlete,Women,SILVER
m241,Germany,oslo,Alpine Skiing,Athlete,Women,BRONZE
m242,Germany,oslo,Alpine Skiing,Athlete,Women,GOLD
m243,Germany,oslo,Alpine Skiing,Athlete,Women,SILVER
m244,Germany,salt lake city,Alpine Skiing,Athlete,Women,BRONZE
m245,Germany,sochi,Alpine Skiing,Athlete,Women,GOLD
m246,Germany,sochi,Alpine Skiing,Athlete,Women,SILVER
m247,Germany,sochi,Alpine Skiing,Athlete,Women,BRONZE
m248,Germany,squaw valley,Alpine Skiing,Athlete,Men,GOLD
m249,Germany,squaw valley,Alpine Skiing,Athlete,Men,SILVER
m250,Germany,squaw valley,Alpine Skiing,Athlete,Men,BRONZE
m251,Germany,vancouver,Alpine Skiing,Athlete,Men,GOLD
m252,Germany,vancouver,Alpine Skiing,Athlete,Men,SILVER
m253,Germany,vancouver,Alpine Skiing,Athlete,Men,BRONZE
m254,Italy,albertville,Alpine Skiing,Athlete,Women,GOLD
m255,Italy,albertville,Alpine Skiing,Athlete,Women,SILVER
m256,Italy,albertville,Alpine Skiing,Athlete,Women,BRONZE
m257,Italy,albertville,Alpine Skiing,Athlete,Women,GOLD
m258,Italy,albertville,Alpine Skiing,Athlete,Women,SILVER
m259,Italy,beijing,Alpine Skiing,Athlete,Women,BRONZE
m260,Italy,beijing,Alpine Skiing,Athlete,Men,GOLD
m261,Italy,beijing,Alpine Skiing,Athlete,Men,SILVER
m262,Italy,beijing,Alpine Skiing,Athlete,Men,BRONZE
m263,Italy,calgary,Alpine Skiing,Athlete,Women,GOLD
m264,Italy,calgary,Alpine Skiing,Athlete,Women,SILVER
m265,Italy,innsbruck,Alpine Skiing,Athlete,Women,BRONZE
m266,Italy,innsbruck,Alpine Skiing,Athlete,Men,GOLD
m267,Italy,innsbruck,Alpine Skiing,Athlete,Men,SILVER
m268,Italy,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m269,Italy,lillehammer,Alpine Skiing,Athlete,Men,GOLD
m270,Italy,lillehammer,Alpine Skiing,Athlete,Men,SILVER
m271,Italy,lillehammer,Alpine Skiing,Athlete,Men,BRONZE
m272,Italy,lillehammer,Alpine Skiing,Athlete,Women,GOLD
m273,Italy,nagano,Alpine Skiing,Athlete,Women,SILVER
m274,Italy,nagano,Alpine Skiing,Athlete,Women,BRONZE
m275,Italy,oslo,Alpine Skiing,Athlete,Men,GOLD
m276,Italy,oslo,Alpine Skiing,Athlete,Men,SILVER
m277,Italy,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m278,Italy,pyeongchang,Alpine Skiing,Athlete,Women,GOLD
m279,Italy,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m280,Italy,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m281,Italy,salt lake city,Alpine Skiing,Athlete,Men,GOLD
m282,Italy,sapporo,Alpine Skiing,Athlete,Men,SILVER
m283,Italy,sapporo,Alpine Skiing,Athlete,Men,BRONZE
m284,Italy,sapporo,Alpine Skiing,Athlete,Men,GOLD
m285,Italy,sarajevo,Alpine Skiing,Athlete,Men,SILVER
m286,Italy,sochi,Alpine Skiing,Athlete,Men,BRONZE
m287,Italy,sochi,Alpine Skiing,Athlete,Women,GOLD
m288,Italy,squaw valley,Alpine Skiing,Athlete,Women,SILVER
m289,Italy,vancouver,Alpine Skiing,Athlete,Women,BRONZE
m290,Japan,cortina ampezzo,Alpine Skiing,Athlete,Women,GOLD
m291,Liechtenstein,calgary,Alpine Skiing,Athlete,Women,SILVER
m292,Liechtenstein,innsbruck,Alpine Skiing,Athlete,Women,BRONZE
m293,Liechtenstein,innsbruck,Alpine Skiing,Athlete,Women,GOLD
m294,Liechtenstein,lake placid,Alpine Skiing,Athlete,Women,SILVER
m295,Liechtenstein,lake placid,Alpine Skiing,Athlete,Women,BRONZE
m296,Liechtenstein,lake placid,Alpine Skiing,Athlete,Men,GOLD
m297,Liechtenstein,lake placid,Alpine Skiing,Athlete,Men,SILVER
m298,Liechtenstein,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m299,Liechtenstein,sarajevo,Alpine Skiing,Athlete,Women,GOLD
m300,Liechtenstein,sarajevo,Alpine Skiing,Athlete,Women,SILVER
m301,Luxembourg,albertville,Alpine Skiing,Athlete,Women,BRONZE
m302,Luxembourg,albertville,Alpine Skiing,Athlete,Women,GOLD
m303,New Zealand,albertville,Alpine Skiing,Athlete,Women,SILVER
m304,Norway,albertville,Alpine Skiing,Athlete,Women,BRONZE
m305,Norway,albertville,Alpine Skiing,Athlete,Men,GOLD
m306,Norway,albertville,Alpine Skiing,Athlete,Men,SILVER
m307,Norway,albertville,Alpine Skiing,Athlete,Men,BRONZE
m308,Norway,beijing,Alpine Skiing,Athlete,Men,GOLD
m309,Norway,beijing,Alpine Skiing,Athlete,Men,SILVER
m310,Norway,beijing,Alpine Skiing,Athlete,Men,BRONZE
m311,Norway,beijing,Alpine Skiing,GameTeam,Men,GOLD
m312,Norway,garmisch,Alpine Skiing,Athlete,Men,SILVER
m313,Norway,lillehammer,Alpine Skiing,Athlete,Men,BRONZE
m314,Norway,lillehammer,Alpine Skiing,Athlete,Women,GOLD
m315,Norway,lillehammer,Alpine Skiing,Athlete,Women,SILVER
m316,Norway,lillehammer,Alpine Skiing,Athlete,Women,BRONZE
m317,Norway,lillehammer,Alpine Skiing,Athlete,Women,GOLD
m318,Norway,nagano,Alpine Skiing,Athlete,Women,SILVER
m319,Norway,nagano,Alpine Skiing,Athlete,Women,BRONZE
m320,Norway,nagano,Alpine Skiing,Athlete,Men,GOLD
m321,Norway,nagano,Alpine Skiing,Athlete,Men,SILVER
m322,Norway,oslo,Alpine Skiing,Athlete,Men,BRONZE
m323,Norway,oslo,Alpine Skiing,Athlete,Men,GOLD
m324,Norway,oslo,Alpine Skiing,Athlete,Men,SILVER
m325,Norway,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m326,Norway,pyeongchang,Alpine Skiing,Athlete,Men,GOLD
m327,Norway,pyeongchang,Alpine Skiing,Athlete,Men,SILVER
m328,Norway,pyeongchang,Alpine Skiing,Athlete,Men,BRONZE
m329,Norway,pyeongchang,Alpine Skiing,Athlete,Women,GOLD
m330,Norway,pyeongchang,Alpine Skiing,Athlete,Women,SILVER
m331,Norway,pyeongchang,Alpine Skiing,GameTeam,Women,BRONZE
m332,Norway,salt lake city,Alpine Skiing,Athlete,Women,GOLD
m333,Norway,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m334,Norway,salt lake city,Alpine Skiing,Athlete,Women,BRONZE
m335,Norway,salt lake city,Alpine Skiing,Athlete,Men,GOLD
m336,Norway,sochi,Alpine Skiing,Athlete,Men,SILVER
m337,Norway,sochi,Alpine Skiing,Athlete,Men,BRONZE
m338,Norway,sochi,Alpine Skiing,Athlete,Men,GOLD
m339,Norway,turin,Alpine Skiing,Athlete,Men,SILVER
m340,Norway,vancouver,Alpine Skiing,Athlete,Men,BRONZE
m341,Norway,vancouver,Alpine Skiing,Athlete,Women,GOLD
m342,Norway,vancouver,Alpine Skiing,Athlete,Women,SILVER
m343,Norway,vancouver,Alpine Skiing,Athlete,Women,BRONZE
m344,Russia,lillehammer,Alpine Skiing,Athlete,Men,GOLD
m345,Slovakia,beijing,Alpine Skiing,Athlete,Men,SILVER
m346,Slovenia,beijing,Alpine Skiing,Athlete,Men,BRONZE
m347,Slovenia,lillehammer,Alpine Skiing,Athlete,Women,GOLD
m348,Slovenia,lillehammer,Alpine Skiing,Athlete,Women,SILVER
m349,Slovenia,lillehammer,Alpine Skiing,Athlete,Women,BRONZE
m350,Slovenia,sochi,Alpine Skiing,Athlete,Women,GOLD
m351,Slovenia,sochi,Alpine Skiing,Athlete,Women,SILVER
m352,Slovenia,vancouver,Alpine Skiing,Athlete,Women,BRONZE
m353,Slovenia,vancouver,Alpine Skiing,Athlete,Men,GOLD
m354,Russia,cortina ampezzo,Alpine Skiing,Athlete,Men,SILVER
m355,Spain,albertville,Alpine Skiing,Athlete,Men,BRONZE
m356,Spain,sapporo,Alpine Skiing,Athlete,Women,GOLD
m357,Sweden,albertville,Alpine Skiing,Athlete,Women,SILVER
m358,Sweden,beijing,Alpine Skiing,Athlete,Women,BRONZE
m359,Sweden,calgary,Alpine Skiing,Athlete,Men,GOLD
m360,Sweden,cortina ampezzo,Alpine Skiing,Athlete,Men,SILVER
m361,Sweden,innsbruck,Alpine Skiing,Athlete,Men,BRONZE
m362,Sweden,lake placid,Alpine Skiing,Athlete,Men,GOLD
m363,Sweden,lake placid,Alpine Skiing,Athlete,Men,SILVER
m364,Sweden,lillehammer,Alpine Skiing,Athlete,Men,BRONZE
m365,Sweden,nagano,Alpine Skiing,Athlete,Women,GOLD
m366,Sweden,pyeongchang,Alpine Skiing,Athlete,Women,SILVER
m367,Sweden,pyeongchang,Alpine Skiing,Athlete,Women,BRONZE
m368,Sweden,salt lake city,Alpine Skiing,Athlete,Women,GOLD
m369,Sweden,salt lake city,Alpine Skiing,Athlete,Women,SILVER
m370,Sweden,turin,Alpine Skiing,Athlete,Women,BRONZE
m371,Sweden,turin,Alpine Skiing,Athlete,Women,GOLD
m372,Sweden,turin,Alpine Skiing,Athlete,Women,SILVER
m373,Sweden,turin,Alpine Skiing,Athlete,Women,BRONZE
m374,Sweden,vancouver,Alpine Skiing,Athlete,Men,GOLD
m375,Sweden,vancouver,Alpine Skiing,Athlete,Men,SILVER
m376,Switzerland,albertville,Alpine Skiing,Athlete,Men,BRONZE
m377,Switzerland,beijing,Alpine Skiing,Athlete,Men,GOLD
m378,Switzerland,beijing,Alpine Skiing,Athlete,Men,SILVER
m379,Switzerland,beijing,Alpine Skiing,Athlete,Men,BRONZE
m380,Switzerland,beijing,Alpine Skiing,Athlete,Women,GOLD
m381,Switzerland,beijing,Alpine Skiing,Athlete,Women,SILVER
m382,Switzerland,beijing,Alpine Skiing,Athlete,Women,BRONZE
m383,Switzerland,beijing,Alpine Skiing,Athlete,Men,GOLD
m384,Switzerland,beijing,Alpine Skiing,Athlete,Men,SILVER
m385,Switzerland,beijing,Alpine Skiing,Athlete,Men,BRONZE
m386,Switzerland,calgary,Alpine Skiing,Athlete,Women,GOLD
m387,Switzerland,calgary,Alpine Skiing,Athlete,Women,SILVER
m388,Switzerland,calgary,Alpine Skiing,Athlete,Women,BRONZE
m389,Switzerland,calgary,Alpine Skiing,Athlete,Men,GOLD
m390,Switzerland,calgary,Alpine Skiing,Athlete,Men,SILVER
m391,Switzerland,calgary,Alpine Skiing,Athlete,Men,BRONZE
m392,Switzerland,calgary,Alpine Skiing,Athlete,Men,GOLD
m393,Switzerland,calgary,Alpine Skiing,Athlete,Men,SILVER
m394,Switzerland,calgary,Alpine Skiing,Athlete,Men,BRONZE
m395,Switzerland,calgary,Alpine Skiing,Athlete,Men,GOLD
m396,Switzerland,calgary,Alpine Skiing,Athlete,Men,SILVER
m397,Switzerland,cortina ampezzo,Alpine Skiing,Athlete,Men,BRONZE
m398,Switzerland,cortina ampezzo,Alpine Skiing,Athlete,Women,GOLD
m399,Switzerland,cortina ampezzo,Alpine Skiing,Athlete,Women,SILVER
m400,Switzerland,cortina ampezzo,Alpine Skiing,Athlete,Women,BRONZE
m401,Switzerland,grenoble,Alpine Skiing,Athlete,Women,GOLD
m402,Switzerland,grenoble,Alpine Skiing,Athlete,Women,SILVER
m403,Switzerland,grenoble,Alpine Skiing,Athlete,Women,BRONZE
